cdate,cp,prediction,actual
2015-04-01,2059.690,0.054,0.000
2015-03-31,2067.890,0.061,-0.397
2015-03-30,2086.240,-0.005,-0.880
2015-03-27,2061.020,0.009,1.224
2015-03-26,2056.150,0.024,0.237
2015-03-25,2061.050,0.059,-0.238
2015-03-24,2091.500,0.038,-1.456
2015-03-23,2104.420,0.029,-0.614
2015-03-20,2108.060,-0.002,-0.173
2015-03-19,2089.270,0.053,0.899
2015-03-18,2099.500,0.001,-0.487
2015-03-17,2074.280,0.058,1.216
2015-03-16,2081.190,0.010,-0.332
2015-03-13,2053.400,0.049,1.353
2015-03-12,2065.950,0.004,-0.607
2015-03-11,2040.240,0.029,1.260
2015-03-10,2044.160,0.073,-0.192
2015-03-09,2079.430,0.017,-1.696
2015-03-06,2071.260,0.063,0.394
2015-03-05,2101.040,0.027,-1.417
2015-03-04,2098.530,0.042,0.120
2015-03-03,2107.780,0.039,-0.439
2015-03-02,2117.390,0.010,-0.454
2015-02-27,2104.500,0.036,0.612
2015-02-26,2110.740,0.032,-0.296
2015-02-25,2113.860,0.032,-0.148
2015-02-24,2115.480,0.017,-0.077
2015-02-23,2109.660,0.025,0.276
2015-02-20,2110.300,0.003,-0.030
2015-02-19,2097.450,0.027,0.613
2015-02-18,2099.680,0.035,-0.106
2015-02-17,2100.340,0.024,-0.031
2015-02-13,2096.990,0.027,0.160
2015-02-12,2088.480,-0.001,0.407
2015-02-11,2068.530,0.013,0.964
2015-02-10,2068.590,-0.000,-0.003
2015-02-09,2046.740,0.030,1.068
2015-02-06,2055.470,0.047,-0.425
2015-02-05,2062.520,0.029,-0.342
2015-02-04,2041.510,0.053,1.029
2015-02-03,2050.030,0.012,-0.416
2015-02-02,2020.850,-0.004,1.444
2015-01-30,1994.990,0.049,1.296
2015-01-29,2021.250,-0.007,-1.299
2015-01-28,2002.160,0.044,0.953
2015-01-27,2029.550,0.062,-1.350
2015-01-26,2057.090,0.030,-1.339
2015-01-23,2051.820,0.051,0.257
2015-01-22,2063.150,0.012,-0.549
2015-01-21,2032.120,0.034,1.527
2015-01-20,2022.550,0.028,0.473
2015-01-16,2019.420,-0.016,0.155
2015-01-15,1992.670,0.043,1.342
2015-01-14,2011.270,0.040,-0.925
2015-01-13,2023.030,0.048,-0.581
2015-01-12,2028.260,0.080,-0.258
2015-01-09,2044.810,0.079,-0.809
2015-01-08,2062.140,-0.010,-0.840
2015-01-07,2025.900,0.000,1.789
2015-01-06,2002.610,0.046,1.163
2015-01-05,2020.580,0.071,-0.889
2015-01-02,2058.200,0.024,-1.828
2014-12-31,2058.900,0.053,-0.034
2014-12-30,2080.350,0.026,-1.031
2014-12-29,2090.570,0.001,-0.489
2014-12-26,2088.770,0.002,0.086
2014-12-24,2081.880,0.018,0.331
2014-12-23,2082.170,0.040,-0.014
2014-12-22,2078.540,0.048,0.175
